Id,Name,Description,Brand,Category,Price,InStock,Rating,Tags
1,Apple iPhone 15 Pro,Flagship smartphone with A17 Pro chip,Apple,Smartphones,1499.99,true,4.9,"iphone;ios;smartphone;5g"
2,Samsung Galaxy S24 Ultra,Premium Android smartphone with stylus,Samsung,Smartphones,1399.99,true,4.8,"android;smartphone;5g;galaxy"
3,Google Pixel 9 Pro,AI powered Android phone with excellent camera,Google,Smartphones,1199.99,true,4.7,"android;pixel;camera;smartphone"
4,Sony WH-1000XM5,Wireless noise cancelling headphones,Sony,Headphones,399.99,true,4.9,"wireless;headphones;noise-cancelling"
5,Bose QuietComfort Ultra,Premium ANC over ear headphones,Bose,Headphones,429.99,true,4.8,"wireless;headphones;anc"
6,Apple AirPods Pro 2,Wireless earbuds with spatial audio,Apple,Headphones,299.99,true,4.7,"airpods;wireless;earbuds"
7,Dell XPS 15,Premium ultrabook with OLED display,Dell,Laptops,2199.99,true,4.8,"laptop;windows;oled"
8,MacBook Pro 16,Professional laptop with M3 Max chip,Apple,Laptops,3499.99,true,4.9,"macbook;laptop;apple-silicon"
9,Lenovo ThinkPad X1 Carbon,Business ultrabook with lightweight design,Lenovo,Laptops,1899.99,true,4.7,"laptop;business;windows"
10,ASUS ROG Strix G18,Gaming laptop with RTX 4080,ASUS,Laptops,2799.99,true,4.8,"gaming;laptop;rtx"
11,LG OLED C3,4K OLED smart television,LG,TVs,1799.99,true,4.8,"tv;oled;4k"
12,Samsung Neo QLED 8K,Premium 8K television,Samsung,TVs,3299.99,true,4.7,"tv;8k;qled"
13,Sony Bravia XR,Smart TV with cinematic image quality,Sony,TVs,2499.99,true,4.8,"tv;4k;smart-tv"
14,Logitech MX Master 3S,Wireless productivity mouse,Logitech,Accessories,119.99,true,4.9,"mouse;wireless;productivity"
15,Razer DeathAdder V3,Esports gaming mouse,Razer,Accessories,149.99,true,4.7,"gaming;mouse;rgb"
16,Keychron K8 Pro,Mechanical wireless keyboard,Keychron,Accessories,129.99,true,4.8,"keyboard;mechanical;wireless"
17,SteelSeries Apex Pro,Mechanical gaming keyboard with RGB,SteelSeries,Accessories,229.99,true,4.7,"gaming;keyboard;rgb"
18,Apple Watch Ultra 2,Rugged smartwatch with GPS,Apple,Wearables,899.99,true,4.8,"watch;smartwatch;fitness"
19,Garmin Fenix 8,Advanced multisport smartwatch,Garmin,Wearables,1099.99,true,4.9,"watch;gps;fitness"
20,Fitbit Charge 6,Fitness tracker with heart monitoring,Fitbit,Wearables,199.99,true,4.5,"fitness;tracker;health"
21,Canon EOS R6 Mark II,Mirrorless camera for professionals,Canon,Cameras,2699.99,true,4.9,"camera;mirrorless;photography"
22,Sony Alpha A7 IV,Full frame mirrorless camera,Sony,Cameras,2499.99,true,4.8,"camera;sony;video"
23,Nikon Z8,Professional hybrid camera,Nikon,Cameras,3999.99,true,4.9,"camera;nikon;photography"
24,GoPro Hero 13,Action camera with 5.3K video,GoPro,Cameras,499.99,true,4.6,"camera;action;video"
25,DJI Mini 4 Pro,Compact drone with obstacle avoidance,DJI,Drones,999.99,true,4.8,"drone;camera;4k"
26,Xbox Series X,Next generation gaming console,Microsoft,Gaming,599.99,true,4.8,"console;gaming;xbox"
27,PlayStation 5 Slim,Sony gaming console with ray tracing,Sony,Gaming,549.99,true,4.9,"console;gaming;ps5"
28,Nintendo Switch OLED,Portable gaming console with OLED screen,Nintendo,Gaming,399.99,true,4.7,"console;gaming;portable"
29,Valve Steam Deck OLED,Portable PC gaming device,Valve,Gaming,699.99,true,4.8,"gaming;portable;steam"
30,Meta Quest 3,Standalone VR headset,Meta,VR,649.99,true,4.7,"vr;gaming;headset"
31,HP Envy 14,Portable creator laptop,HP,Laptops,1599.99,true,4.6,"laptop;creator;windows"
32,Acer Predator Helios 16,High performance gaming laptop,Acer,Laptops,2499.99,true,4.7,"gaming;laptop;rtx"
33,MSI Raider GE78,Gaming notebook with RGB lighting,MSI,Laptops,2999.99,true,4.8,"gaming;laptop;rgb"
34,Samsung Odyssey G9,Ultra wide curved gaming monitor,Samsung,Monitors,1499.99,true,4.8,"monitor;gaming;curved"
35,LG UltraGear 27,144Hz gaming monitor,LG,Monitors,499.99,true,4.7,"monitor;gaming;144hz"
36,Dell UltraSharp U3224,Professional productivity monitor,Dell,Monitors,899.99,true,4.8,"monitor;4k;office"
37,BenQ PD3220U,Designer monitor with accurate colors,BenQ,Monitors,1199.99,true,4.7,"monitor;designer;4k"
38,Anker 737 Power Bank,High capacity portable charger,Anker,Accessories,149.99,true,4.8,"charger;portable;battery"
39,Belkin MagSafe Charger,Wireless charging pad for iPhone,Belkin,Accessories,59.99,true,4.5,"charger;wireless;magsafe"
40,Apple Magic Keyboard,Wireless keyboard for Mac devices,Apple,Accessories,199.99,true,4.7,"keyboard;wireless;apple"
41,Apple Magic Mouse,Rechargeable wireless mouse,Apple,Accessories,99.99,true,4.3,"mouse;wireless;apple"
42,HyperX Cloud III,Gaming headset with surround sound,HyperX,Headphones,179.99,true,4.7,"gaming;headset;microphone"
43,Corsair HS80 RGB,Wireless gaming headset,Corsair,Headphones,199.99,true,4.6,"gaming;wireless;rgb"
44,JBL Charge 6,Portable Bluetooth speaker,JBL,Audio,249.99,true,4.7,"speaker;bluetooth;portable"
45,Sonos Era 300,Smart speaker with spatial audio,Sonos,Audio,499.99,true,4.8,"speaker;smart-home;audio"
46,Bose SoundLink Flex,Portable waterproof speaker,Bose,Audio,169.99,true,4.6,"speaker;portable;waterproof"
47,Kindle Paperwhite,Waterproof e-reader with backlight,Amazon,Tablets,189.99,true,4.8,"ebook;reader;portable"
48,iPad Pro 13,Tablet with M4 chip and OLED display,Apple,Tablets,1499.99,true,4.9,"tablet;ipad;oled"
49,Samsung Galaxy Tab S10,Android tablet with AMOLED display,Samsung,Tablets,1199.99,true,4.7,"tablet;android;amoled"
50,Microsoft Surface Pro 11,2 in 1 productivity tablet,Microsoft,Tablets,1699.99,true,4.7,"tablet;windows;surface"
51,OnePlus 13,Fast Android flagship smartphone,OnePlus,Smartphones,999.99,true,4.6,"android;smartphone;fast-charge"
52,Xiaomi 15 Ultra,Camera focused Android smartphone,Xiaomi,Smartphones,1099.99,true,4.7,"android;camera;smartphone"
53,Nothing Phone 3,Minimalistic Android smartphone,Nothing,Smartphones,799.99,true,4.5,"android;smartphone;design"
54,Marshall Major V,Wireless on ear headphones,Marshall,Headphones,199.99,true,4.6,"wireless;headphones;music"
55,Sennheiser Momentum 4,Premium audiophile headphones,Sennheiser,Headphones,449.99,true,4.8,"wireless;audio;headphones"
56,Alienware Aurora R16,High end gaming desktop,Dell,PCs,3299.99,true,4.8,"desktop;gaming;rtx"
57,HP Omen 45L,Gaming desktop with liquid cooling,HP,PCs,2899.99,true,4.7,"desktop;gaming;rgb"
58,Mac Studio M3 Ultra,Professional desktop workstation,Apple,PCs,4999.99,true,4.9,"desktop;workstation;apple"
59,Intel Core i9 15900K,High performance desktop processor,Intel,Components,799.99,true,4.8,"cpu;processor;gaming"
60,AMD Ryzen 9 9950X,Flagship AMD desktop processor,AMD,Components,749.99,true,4.9,"cpu;processor;multicore"
61,NVIDIA RTX 5090,Next generation graphics card,NVIDIA,Components,2499.99,true,4.9,"gpu;graphics-card;gaming"
62,AMD Radeon RX 8900 XT,High performance AMD GPU,AMD,Components,1899.99,true,4.7,"gpu;graphics-card;gaming"
63,Samsung 990 Pro 2TB,High speed NVMe SSD,Samsung,Storage,249.99,true,4.9,"ssd;storage;nvme"
64,WD Black SN850X,PCIe Gen4 gaming SSD,Western Digital,Storage,229.99,true,4.8,"ssd;gaming;storage"
65,Seagate IronWolf 8TB,NAS hard drive for storage servers,Seagate,Storage,279.99,true,4.6,"hdd;nas;storage"
66,Crucial DDR5 64GB,High speed desktop memory kit,Crucial,Components,349.99,true,4.8,"ram;memory;ddr5"
67,Corsair Vengeance RGB,DDR5 gaming memory,Corsair,Components,299.99,true,4.7,"ram;gaming;rgb"
68,TP-Link Archer AXE75,WiFi 6E gaming router,TP-Link,Networking,249.99,true,4.6,"router;wifi;network"
69,Ubiquiti Dream Machine Pro,Enterprise home networking device,Ubiquiti,Networking,499.99,true,4.8,"router;network;enterprise"
70,Netgear Nighthawk AX12,High speed WiFi router,Netgear,Networking,399.99,true,4.7,"router;wifi;gaming"
71,Eufy RoboVac X10,Robot vacuum cleaner with mapping,Eufy,SmartHome,699.99,true,4.6,"robot;vacuum;smart-home"
72,Roborock S8 MaxV,Premium robot vacuum and mop,Roborock,SmartHome,1199.99,true,4.8,"robot;vacuum;mop"
73,Philips Hue Starter Kit,Smart lighting system,Philips,SmartHome,249.99,true,4.7,"lighting;smart-home;wifi"
74,Nest Learning Thermostat,AI powered smart thermostat,Google,SmartHome,299.99,true,4.6,"thermostat;smart-home;energy"
75,Ring Video Doorbell Pro,Smart security doorbell,Amazon,SmartHome,349.99,true,4.5,"security;camera;smart-home"
76,Arlo Pro 5,Wireless outdoor security camera,Arlo,SmartHome,499.99,true,4.6,"security;camera;wireless"
77,Dyson V15 Detect,Cordless vacuum cleaner with laser,Dyson,HomeAppliances,899.99,true,4.8,"vacuum;cordless;home"
78,Nespresso Vertuo Pop,Coffee machine with capsule system,Nespresso,HomeAppliances,179.99,true,4.5,"coffee;kitchen;espresso"
79,Breville Barista Express,Home espresso machine with grinder,Breville,HomeAppliances,849.99,true,4.8,"coffee;espresso;kitchen"
80,KitchenAid Artisan Mixer,Professional stand mixer,KitchenAid,HomeAppliances,699.99,true,4.9,"kitchen;mixer;baking"
81,Instant Pot Duo 9-in-1,Multi cooker for home cooking,Instant Pot,HomeAppliances,149.99,true,4.7,"cooking;kitchen;multicooker"
82,Weber Genesis E-325,Premium gas grill for outdoor cooking,Weber,Outdoor,1299.99,true,4.8,"grill;bbq;outdoor"
83,Garmin Edge 1040,Cycling GPS computer,Garmin,Sports,699.99,true,4.7,"cycling;gps;fitness"
84,Peloton Bike Plus,Interactive fitness bike,Peloton,Sports,2499.99,true,4.5,"fitness;bike;cardio"
85,NordicTrack X32i,Incline treadmill with touchscreen,NordicTrack,Sports,3999.99,true,4.6,"fitness;treadmill;cardio"
86,Wilson Blade 98,Tennis racket for advanced players,Wilson,Sports,279.99,true,4.7,"tennis;racket;sports"
87,Yeti Tundra 45,Heavy duty outdoor cooler,Yeti,Outdoor,399.99,true,4.8,"cooler;camping;outdoor"
88,Patagonia Black Hole Duffel,Durable travel bag for adventures,Patagonia,Outdoor,199.99,true,4.7,"travel;bag;outdoor"
89,The North Face Borealis,Everyday backpack for travel and work,The North Face,Outdoor,149.99,true,4.6,"backpack;travel;outdoor"
90,Samsonite Pro Carry-On,Lightweight premium cabin suitcase,Samsonite,Travel,329.99,true,4.7,"travel;luggage;carry-on"
91,DJI Osmo Pocket 4,Compact stabilized vlog camera,DJI,Cameras,799.99,true,4.6,"camera;vlog;portable"
92,Elgato Stream Deck XL,Programmable controller for streamers,Elgato,Accessories,299.99,true,4.8,"streaming;productivity;creator"
93,Blue Yeti X,USB microphone for podcasts and streaming,Logitech,Audio,199.99,true,4.7,"microphone;streaming;audio"
94,Rode Wireless Pro,Professional wireless microphone system,Rode,Audio,499.99,true,4.8,"microphone;wireless;creator"
95,Wacom Cintiq 16,Creative drawing display for artists,Wacom,Accessories,899.99,true,4.7,"drawing;tablet;designer"
96,Huion Kamvas Pro 24,Large pen display for digital artists,Huion,Accessories,1099.99,true,4.6,"drawing;tablet;artist"
97,Synology DS923+,NAS storage server for home office,Synology,Networking,899.99,true,4.8,"nas;storage;server"
98,QNAP TS-464,NAS server with multimedia support,QNAP,Networking,799.99,true,4.6,"nas;storage;network"
99,Beats Studio Pro,Wireless headphones with ANC,Beats,Headphones,349.99,true,4.5,"wireless;headphones;music"
100,Jabra Elite 10,Premium true wireless earbuds,Jabra,Headphones,279.99,true,4.6,"wireless;earbuds;bluetooth"